regar las plantas		поливать растения	"Siempre me olvido de regar las plantas.
Я всё время забываю поливать растения."	spanish spanish::слова
regar		поливать	"Tengo que regar el jardín.
Мне нужно полить сад."	spanish spanish::слова
llevar una vida sedentaria		вести малоподвижный образ жизни	"Llevar una vida sedentaria no es saludable.
Вести малоподвижный образ жизни — это вредно."	spanish spanish::слова
el entretenimiento		развлечение	"El cine es una forma de entretenimiento popular.
Кино — это популярная форма развлечения."	spanish spanish::слова
entretenerse		развлекаться	"Los niños pueden entretenerse con juegos simples.
Дети могут развлекаться простыми играми."	spanish spanish::слова
obeso		тучный	"Estar obeso puede causar problemas de salud.
Избыточный вес может вызывать проблемы со здоровьем."	spanish spanish::слова
las grasas		жиры	"Es importante controlar el consumo de las grasas.
Важно контролировать потребление жиров."	spanish spanish::слова
estimar		оценивать / уважать	"Estimo mucho tu opinión.
Я очень уважаю твоё мнение."	spanish spanish::слова
estimarse		ценить себя	"Es importante estimarse a uno mismo.
Важно ценить себя."	spanish spanish::слова
la estima		уважение / самоуважение	"Su estima creció con los años.
Его уважение выросло с годами."	spanish spanish::слова
el dispositivo		устройство	"Este dispositivo mide la temperatura corporal.
Это устройство измеряет температуру тела."	spanish spanish::слова
el funcionamiento		функционирование / работа	"El funcionamiento del motor es perfecto.
Работа двигателя идеальна."	spanish spanish::слова
funcionar		работать / функционировать	"Mi ordenador ya no funciona.
Мой компьютер больше не работает."	spanish spanish::слова
la cantidad		количество	"Come una cantidad moderada de azúcar.
Ешь умеренное количество сахара."	spanish spanish::слова
la multitud		толпа	"Una multitud se reunió en la plaza.
На площади собралась толпа."	spanish spanish::слова
la compañía aérea / la aerolínea		авиакомпания	"La compañía aérea canceló el vuelo.
Авиакомпания отменила рейс."	spanish spanish::слова
el colchón		матрас	"Compramos un colchón nuevo.
Мы купили новый матрас."	spanish spanish::слова 
